"DATUM_ABSTIMMUNG";"VORLAGE_BEZEICHNUNG";"VORLAGEART_CODE";"VORLAGEART_BEZEICHNUNG";"BEZIRK_NR";"BEZIRK_NAME";"BFS_NR_GEMEINDE";"GEMEINDE_NAME";"STIMMBERECHTIGTE";"EINGELEGTE_STIMMZETTEL";"LEERE_STIMMEN";"UNGUELTIGE_STIMMEN";"GUELTIGE_STIMMEN";"JA_STIMMEN";"NEIN_STIMMEN";"STIMMBETEILIGUNG";"URL_ABSTIMMUNGSVORLAGE";"vorlage_nr";"D1E1_BEZEICHNUNG";"D1E1_CODE";"D1E2_BEZEICHNUNG";"D1E2_CODE";"D1E3_BEZEICHNUNG";"D1E3_CODE";"D2E1_BEZEICHNUNG";"D2E1_CODE";"D2E2_BEZEICHNUNG";"D2E2_CODE";"D2E3_BEZEICHNUNG";"D2E3_CODE";"D3E1_BEZEICHNUNG";"D3E1_CODE";"D3E2_BEZEICHNUNG";"D3E2_CODE";"D3E3_BEZEICHNUNG";"D3E3_CODE"
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2004;"Frauenfeld";4551;"Aadorf";4820;1810;"";"";1734;305;1429;37.6;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2006;"Münchwilen";4711;"Affeltrangen";1396;616;"";"";595;74;521;44.1;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2005;"Kreuzlingen";4641;"Altnau";1121;463;"";"";459;110;349;41.3;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2008;"Weinfelden";4881;"Amlikon-Bissegg";791;381;"";"";380;31;349;48.2;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2002;"Bischofszell";4461;"Amriswil";6545;2127;"";"";2103;368;1735;32.5;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2001;"Arbon";4401;"Arbon";7602;2558;"";"";2503;481;2022;33.6;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2003;"Diessenhofen";4536;"Basadingen-Schlattingen";1051;478;"";"";471;71;400;45.5;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2008;"Weinfelden";4891;"Berg";1847;793;"";"";783;125;658;42.9;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2007;"Steckborn";4801;"Berlingen";546;267;"";"";263;67;196;48.9;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
"12.03.2000";"Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)'";1;"Volksinitiative";2006;"Münchwilen";4716;"Bettwiesen";552;237;"";"";232;30;202;42.9;"https://www.bk.admin.ch/ch/d/pore/va/20000312/index.html";"20000312_3";"Verkehr und Infrastruktur";"8";"Verkehrspolitik";"81";"";"";"Umwelt und Lebensraum";"9";"Umwelt";"93";"Umweltpolitik";"931";"";"";"";"";"";""
