bfs_nr;municipality;canton;energyreporter_date;electric_car_share;electric_car_share_last_change;solar_potential_usage;solar_potential_usage_last_change;renewable_heating_share;renewable_heating_share_coverage;renewable_heating_share_last_change
4401;Arbon;TG;31.03.2021;0.006783;31.10.2020;0.05431;20.08.2020;0.244947;0.969138;07.10.2020
4401;Arbon;TG;30.04.2021;0.007811;31.03.2021;0.054305;20.08.2020;0.244947;0.969138;07.10.2020
4401;Arbon;TG;31.05.2021;0.008263;30.04.2021;0.054569;03.11.2020;0.245253;0.969146;07.10.2020
4401;Arbon;TG;30.06.2021;0.008559;31.05.2021;0.056193;23.04.2021;0.245961;0.969435;07.10.2020
4401;Arbon;TG;31.07.2021;0.009517;30.06.2021;0.056938;23.04.2021;0.247377;0.969452;07.10.2020
4401;Arbon;TG;31.08.2021;0.010045;31.07.2021;0.056938;23.04.2021;0.247773;0.999107;07.10.2020
4401;Arbon;TG;30.09.2021;0.010128;31.08.2021;0.057526;21.05.2021;0.249294;0.969461;07.10.2020
4401;Arbon;TG;31.10.2021;0.010578;30.09.2021;0.059097;27.05.2021;0.250302;0.969461;07.10.2020
4401;Arbon;TG;30.11.2021;0.011007;31.10.2021;0.060585;13.07.2021;0.255721;0.995115;25.11.2021
4401;Arbon;TG;31.12.2021;0.011889;30.11.2021;0.060757;13.07.2021;0.256616;0.995404;17.12.2021
4401;Arbon;TG;31.01.2022;0.012438;31.12.2021;0.077707;13.07.2021;0.260608;0.995408;12.01.2022
4401;Arbon;TG;28.02.2022;0.013046;31.01.2022;0.059938;13.07.2021;0.260608;0.995408;12.01.2022
4401;Arbon;TG;31.03.2022;0.013017;28.02.2022;0.061557;04.11.2021;0.264671;0.995418;12.01.2022
4401;Arbon;TG;30.04.2022;0.013758;31.03.2022;0.062044;25.11.2021;0.264671;0.995417;22.04.2022
4401;Arbon;TG;31.05.2022;0.014376;30.04.2022;0.06239;08.02.2022;0.265257;0.877756;12.05.2022
