MunicipalityNumber;MunicipalityName;Canton;Country;Scenario1_RoofsOnly_PotentialSolarElectricity_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month01_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month02_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month03_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month04_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month05_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month06_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month07_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month08_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month09_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month10_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month11_GWh;Scenario1_RoofsOnly_PotentialSolarElectricity_Month12_GWh;Scenario2_RoofsOnly_PotentialSolarElectricity_GWh;Scenario2_RoofsOnly_PotentialSolarHeat_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month01_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month02_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month03_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month04_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month05_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month06_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month07_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month08_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month09_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month10_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month11_GWh;Scenario3_RoofsFacades_PotentialSolarElectricity_Month12_GWh;Scenario4_RoofsFacades_PotentialSolarElectricity_GWh;Scenario4_RoofsFacades_PotentialSolarHeat_GWh;Factsheet;Methodology
4401;Arbon;Thurgau;CH;95.27;2.57;4.28;8.06;10.87;12.73;13.3;13.72;11.36;8.37;5.15;2.76;2.1;67.17;24.53;120.11;3.62;5.93;10.66;13.67;15.41;15.86;16.48;14.01;10.76;6.91;3.82;2.98;92.01;24.53;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4401.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4406;Dozwil;Thurgau;CH;8.07;0.23;0.38;0.69;0.9;1.07;1.11;1.15;0.96;0.71;0.44;0.24;0.19;5.43;1.98;10.23;0.32;0.52;0.91;1.14;1.31;1.34;1.4;1.19;0.91;0.59;0.33;0.27;7.58;1.98;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4406.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4411;Egnach;Thurgau;CH;72.18;2.1;3.47;6.2;8.11;9.46;9.85;10.16;8.46;6.36;4.02;2.22;1.77;49.09;16.71;91.47;2.91;4.75;8.17;10.25;11.58;11.91;12.35;10.52;8.18;5.35;3.03;2.47;68.39;16.71;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4411.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4416;Hefenhofen;Thurgau;CH;19.88;0.59;0.96;1.71;2.21;2.6;2.71;2.8;2.34;1.75;1.1;0.62;0.49;13.5;4.79;25.82;0.85;1.36;2.31;2.86;3.25;3.34;3.47;2.97;2.31;1.51;0.88;0.71;19.45;4.79;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4416.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4421;Horn;Thurgau;CH;18;0.5;0.81;1.53;2.05;2.38;2.49;2.57;2.14;1.59;0.99;0.54;0.41;11.47;5.53;23.79;0.75;1.18;2.13;2.7;3;3.09;3.22;2.76;2.15;1.4;0.79;0.62;17.26;5.53;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4421.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4426;Kesswil;Thurgau;CH;16.91;0.48;0.78;1.45;1.91;2.23;2.33;2.42;2.01;1.5;0.92;0.5;0.38;11.78;3.47;20.39;0.63;1;1.81;2.3;2.61;2.7;2.82;2.39;1.83;1.16;0.64;0.5;15.26;3.47;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4426.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4431;Roggwil (TG);Thurgau;CH;37.26;1.09;1.83;3.21;4.19;4.86;5.04;5.21;4.36;3.28;2.1;1.17;0.92;24.6;9.5;47.66;1.53;2.54;4.27;5.34;5.99;6.13;6.38;5.47;4.26;2.83;1.62;1.3;35.01;9.5;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4431.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4436;Romanshorn;Thurgau;CH;81.89;2.25;3.66;6.9;9.27;10.95;11.47;11.82;9.74;7.22;4.39;2.37;1.85;54.08;23;105.84;3.29;5.22;9.37;11.94;13.55;13.97;14.52;12.3;9.52;6.05;3.38;2.73;78.03;23;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4436.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4441;Salmsach;Thurgau;CH;20.68;0.57;0.94;1.74;2.33;2.76;2.9;2.98;2.45;1.81;1.11;0.61;0.48;15.74;3.58;24.71;0.74;1.2;2.15;2.78;3.2;3.33;3.44;2.88;2.19;1.39;0.78;0.63;19.78;3.58;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4441.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
4446;Sommeri;Thurgau;CH;10.03;0.31;0.5;0.87;1.11;1.3;1.35;1.4;1.17;0.89;0.56;0.32;0.25;6.33;2.93;12.93;0.43;0.7;1.17;1.43;1.62;1.66;1.73;1.48;1.16;0.76;0.44;0.35;9.23;2.93;https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4446.pdf;https://www.uvek-gis.admin.ch/BFE/redirect/sol.html
