BFS_Nr;Gemeinde;Total_Wohngebaeude;Energiequelle_Waermepumpe;Gas;Heizoel;Holz;Elektrizitaet;Solarthermie;Fernwaerme;Andere_Energiequelle;Keine_Energiequelle
4401;Arbon;2406;375;641;1047;68;81;0;171;14;9
4406;Dozwil;199;53;31;58;39;15;0;3;0;0
4411;Egnach;1392;282;351;451;223;60;2;6;15;2
4416;Hefenhofen;413;81;123;118;72;18;0;0;1;0
4421;Horn;450;50;195;167;12;8;0;14;4;0
4426;Kesswil;359;46;133;84;69;18;0;3;4;2
4431;Roggwil ;868;186;74;474;95;23;6;5;5;0
4436;Romanshorn;2137;311;809;818;109;56;1;25;7;1
4441;Salmsach;387;79;103;148;45;11;1;0;0;0
4446;Sommeri;181;61;0;60;46;7;1;5;0;1
4451;Uttwil;498;58;183;163;42;28;11;2;8;3
4461;Amriswil;2634;477;851;990;195;56;0;57;8;0
4471;Bischofszell;1378;277;285;620;131;51;0;4;9;1
4476;Erlen;1001;218;253;369;112;40;1;7;0;1
4486;Hauptwil-Gottshaus;565;124;82;245;90;19;0;2;1;2
4495;Hohentannen;228;24;4;88;91;9;0;10;2;0
4501;Kradolf-Schönenberg;856;109;233;340;118;18;1;35;1;1
4506;Sulgen;907;133;330;318;95;24;0;2;5;0
4511;Zihlschlacht-Sitterdorf;706;147;138;277;105;27;0;8;4;0
4536;Basadingen-Schlattingen;648;221;8;274;103;36;1;5;0;0
4545;Diessenhofen;847;146;219;310;50;77;23;16;6;0
4546;Schlatt;633;209;50;250;71;32;13;7;1;0
4551;Aadorf;2202;413;682;745;188;91;0;80;3;0
4561;Felben-Wellhausen;656;149;34;380;54;17;0;22;0;0
4566;Frauenfeld;4702;490;2197;1610;232;78;7;48;40;0
4571;Gachnang;1166;358;303;410;56;26;1;3;8;1
4590;Hüttlingen;297;80;1;85;93;11;0;24;3;0
4591;Matzingen;735;132;226;249;72;42;7;7;0;0
4601;Neunforn;387;103;1;131;87;26;0;35;4;0
4606;Stettfurt;409;99;164;91;38;11;2;3;1;0
4611;Thundorf;439;94;0;180;132;20;3;5;5;0
4616;Uesslingen-Buch;375;100;1;159;88;22;0;2;3;0
4621;Warth-Weiningen;446;112;56;198;53;20;3;3;1;0
4641;Altnau;668;127;257;208;53;9;0;13;1;0
4643;Bottighofen;541;107;178;221;14;11;2;6;2;0
4646;Ermatingen;961;222;332;256;82;56;0;8;3;2
4651;Gottlieben;82;11;40;25;3;3;0;0;0;0
4656;Güttingen;513;79;136;165;83;33;0;2;11;4
4666;Kemmental;922;232;9;351;282;28;1;18;1;0
4671;Kreuzlingen;3210;514;1198;1293;87;92;8;5;13;0
4681;Langrickenbach;426;153;2;151;103;9;1;6;1;0
4683;Lengwil;527;160;28;231;96;10;0;2;0;0
4691;Münsterlingen;764;166;247;283;33;21;1;9;3;1
4696;Tägerwilen;1019;262;312;341;63;36;0;3;2;0
4701;Wäldi;403;60;8;189;100;12;0;28;6;0
4711;Affeltrangen;770;153;65;357;138;40;1;16;0;0
4716;Bettwiesen;326;61;66;146;33;16;0;2;2;0
4721;Bichelsee-Balterswil;888;161;34;431;116;44;5;78;19;0
4723;Braunau;254;65;0;94;84;8;0;3;0;0
4724;Eschlikon;1070;179;383;367;75;24;5;34;3;0
4726;Fischingen;942;209;6;360;269;59;9;26;4;0
4741;Lommis;400;133;0;174;69;22;1;1;0;0
4746;Münchwilen;1274;216;366;484;85;35;11;73;4;0
4751;Rickenbach ;370;57;111;167;15;15;0;1;3;1
4756;Schönholzerswilen;267;54;1;81;121;6;1;1;2;0
4761;Sirnach;1717;258;711;605;95;37;1;7;3;0
4776;Tobel-Tägerschen;433;104;59;190;54;20;0;4;2;0
4781;Wängi;1357;243;233;649;164;54;0;14;0;0
4786;Wilen;630;124;369;103;22;7;1;0;4;0
4791;Wuppenau;381;108;0;148;109;11;2;2;0;1
4801;Berlingen;379;44;148;104;36;34;0;2;3;8
4806;Eschenz;615;108;233;153;79;12;3;17;1;9
4811;Herdern;351;108;0;137;75;12;2;16;1;0
4816;Homburg;525;115;0;207;174;8;0;16;5;0
4821;Hüttwilen;577;170;112;144;109;15;1;23;2;1
4826;Mammern;245;47;69;80;25;14;0;2;1;7
4831;Müllheim;810;134;351;244;61;18;0;2;0;0
4841;Pfyn;640;146;183;208;88;11;0;4;0;0
4846;Raperswilen;170;29;2;65;63;6;1;4;0;0
4851;Salenstein;476;51;113;196;63;27;1;19;2;4
4864;Steckborn;1056;168;360;425;62;31;1;3;3;3
4871;Wagenhausen;550;93;77;210;92;36;2;35;2;3
4881;Amlikon-Bissegg;496;154;4;190;119;15;1;10;1;2
4891;Berg ;1007;221;402;245;106;24;2;6;1;0
4901;Birwinken;447;83;1;200;136;21;0;4;2;0
4911;Bürglen ;853;129;336;273;66;16;9;23;1;0
4921;Bussnang;749;175;88;277;180;17;1;3;8;0
4941;Märstetten;772;128;233;286;95;16;1;9;4;0
4946;Weinfelden;2195;238;1191;546;112;32;21;38;17;0
4951;Wigoltingen;804;168;181;300;125;25;0;4;1;0
