BFS_Nr;Gemeinde;Total_Wohngebaeude;Energiequelle_Waermepumpe;Gas;Heizoel;Holz;Elektrizitaet;Thermische_Solaranlage;Fernwaerme;Andere_Energiequelle;Keine_Energiequelle
4401;Arbon;2406;364;496;794;35;574;35;94;13;1
4406;Dozwil;199;50;28;41;23;44;12;1;0;0
4411;Egnach;1392;280;284;344;109;345;11;4;14;1
4416;Hefenhofen;413;77;116;77;29;107;6;0;1;0
4421;Horn;450;40;162;122;4;99;9;10;4;0
4426;Kesswil;359;44;121;57;28;105;2;0;2;0
4431;Roggwil ;868;184;62;364;47;177;27;3;4;0
4436;Romanshorn;2137;300;667;594;37;444;71;16;7;1
4441;Salmsach;387;74;90;116;19;83;5;0;0;0
4446;Sommeri;181;48;2;36;22;63;6;2;1;1
4451;Uttwil;498;48;152;125;13;140;13;0;6;1
4461;Amriswil;2634;489;675;735;106;496;100;22;11;0
4471;Bischofszell;1378;256;210;385;50;434;28;4;11;0
4476;Erlen;1001;211;208;294;64;200;21;2;0;1
4486;Hauptwil-Gottshaus;565;113;65;166;37;163;16;2;2;1
4495;Hohentannen;228;19;5;56;30;104;7;4;3;0
4501;Kradolf-Schönenberg;856;96;163;232;54;259;23;24;5;0
4506;Sulgen;907;133;252;245;38;205;29;1;4;0
4511;Zihlschlacht-Sitterdorf;706;121;121;167;39;241;11;2;4;0
4536;Basadingen-Schlattingen;648;148;4;155;43;268;26;1;2;1
4545;Diessenhofen;847;132;184;219;28;247;25;7;5;0
4546;Schlatt;633;121;33;135;26;304;10;3;1;0
4551;Aadorf;2202;358;548;525;105;524;76;64;2;0
4561;Felben-Wellhausen;656;109;30;308;30;146;15;18;0;0
4566;Frauenfeld;4702;476;1903;1253;156;779;55;36;44;0
4571;Gachnang;1166;334;263;330;31;142;53;5;7;1
4590;Hüttlingen;297;66;0;56;60;95;5;12;3;0
4591;Matzingen;735;112;216;163;39;193;10;2;0;0
4601;Neunforn;387;75;1;85;42;126;22;32;2;2
4606;Stettfurt;409;79;107;66;25;124;6;1;1;0
4611;Thundorf;439;91;1;137;72;117;13;3;5;0
4616;Uesslingen-Buch;375;86;0;113;44;122;7;1;2;0
4621;Warth-Weiningen;446;99;50;165;25;90;13;1;3;0
4641;Altnau;668;124;223;158;29;103;25;4;2;0
4643;Bottighofen;541;87;162;177;8;78;23;6;0;0
4646;Ermatingen;961;201;270;203;40;228;15;1;3;0
4651;Gottlieben;82;11;34;24;2;10;1;0;0;0
4656;Güttingen;513;75;116;123;43;128;15;2;11;0
4666;Kemmental;922;208;7;320;133;208;42;3;1;0
4671;Kreuzlingen;3210;472;1008;1004;31;564;115;6;10;0
4681;Langrickenbach;426;122;2;93;53;144;5;6;1;0
4683;Lengwil;527;127;26;136;42;182;11;2;1;0
4691;Münsterlingen;764;159;224;233;18;97;16;12;5;0
4696;Tägerwilen;1019;201;253;260;29;251;19;2;4;0
4701;Wäldi;403;40;8;137;62;120;4;25;7;0
4711;Affeltrangen;770;140;62;279;79;180;9;14;7;0
4716;Bettwiesen;326;45;33;84;10;153;0;0;1;0
4721;Bichelsee-Balterswil;888;148;33;300;64;231;0;70;42;0
4723;Braunau;254;53;0;62;37;96;5;1;0;0
4724;Eschlikon;1070;160;317;276;39;201;53;23;1;0
4726;Fischingen;942;180;3;259;149;277;51;22;1;0
4741;Lommis;400;115;0;123;34;122;5;0;1;0
4746;Münchwilen;1274;185;314;309;49;297;52;64;4;0
4751;Rickenbach ;370;25;67;130;11;128;5;0;3;1
4756;Schönholzerswilen;267;18;1;52;43;146;7;0;0;0
4761;Sirnach;1717;252;578;453;43;334;46;3;8;0
4776;Tobel-Tägerschen;433;75;49;157;31;94;21;0;6;0
4781;Wängi;1357;226;200;439;71;402;8;9;2;0
4786;Wilen;630;109;295;91;13;96;23;1;2;0
4791;Wuppenau;381;89;0;78;51;147;14;2;0;0
4801;Berlingen;379;48;111;86;6;121;4;0;2;1
4806;Eschenz;615;69;189;113;41;168;30;1;4;0
4811;Herdern;351;91;0;93;50;97;9;11;0;0
4816;Homburg;525;110;0;153;101;137;5;12;7;0
4821;Hüttwilen;577;135;101;119;78;130;8;2;4;0
4826;Mammern;245;39;62;59;15;64;3;0;3;0
4831;Müllheim;810;80;295;175;27;227;6;0;0;0
4841;Pfyn;640;143;159;171;45;110;12;0;0;0
4846;Raperswilen;170;26;4;46;34;56;2;2;0;0
4851;Salenstein;476;52;95;163;32;111;3;18;2;0
4864;Steckborn;1056;160;289;338;13;223;25;0;7;1
4871;Wagenhausen;550;77;56;156;47;182;7;20;3;2
4881;Amlikon-Bissegg;496;119;6;109;49;182;24;3;4;0
4891;Berg ;1007;195;321;184;38;216;50;3;0;0
4901;Birwinken;447;81;1;124;64;162;13;1;1;0
4911;Bürglen ;853;128;279;202;36;156;35;17;0;0
4921;Bussnang;749;163;66;198;95;207;13;0;7;0
4941;Märstetten;772;114;193;230;49;172;7;3;4;0
4946;Weinfelden;2195;251;989;467;51;311;95;14;17;0
4951;Wigoltingen;804;163;170;217;65;182;4;2;1;0
